#do not,plot this,,and this
0,0,-0.222022326687824,0.796511576842698
0.091957671848605,0.075660952090584,-0.130064654839219,0.573808152225859
0.216930229873566,0.178485898995846,-0.005092096814258,0.432508156617387
0.241295611654568,0.198533252811374,0.019273284966745,0.432492657106913
0.298469742710227,0.245574996079351,0.076447416022403,0.482074299486708
0.363444094126233,0.299034606254092,0.141421767438409,0.482032967458778
0.501267226603204,0.412432751440741,0.27924489991538,0.443777592357708
0.647294607767857,0.532581190044125,0.425272281080033,0.418239565600386
0.781081579709533,0.642658462238322,0.559059253021709,0.383803528205234
0.939473052238183,0.772979830468231,0.717450725550359,0.386247284356602
1.10174402125684,0.906493171615301,0.879721694569013,0.360698924592298
1.21539141790237,0.999999999919673,0.993369091214547,0.351720833150353
